Plataforma,Dirección,Zona,Tienda,Producto,Product_ID,Precio,Precio_Original,Descuento_%,Encontrado,Disponible,Tiempo_Entrega,Rating
rappi,Narvarte - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,272.37,,,True,True,25-45 min,4.8
rappi,Coyoacán Centro - Clase Media,middle,McDonald's,Big Mac,ff_01,102.77,,,True,True,25-45 min,4.7
rappi,Coyoacán Centro - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,176.23,,,True,True,25-45 min,4.7
rappi,Coyoacán Centro - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,114.71,,,True,True,25-45 min,4.7
rappi,Coyoacán Centro - Clase Media,middle,Burger King,Whopper,ff_04,112.85,,,True,True,25-45 min,4.4
rappi,Coyoacán Centro - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,187.3,,,True,True,25-45 min,4.4
rappi,Tlalpan Centro - Clase Media,middle,McDonald's,Big Mac,ff_01,117.5,156.67,25.0,True,True,25-45 min,4.6
rappi,Tlalpan Centro - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,190.51,,,True,True,25-45 min,4.6
rappi,Tlalpan Centro - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,138.2,184.27,25.0,True,True,25-45 min,4.6
rappi,Tlalpan Centro - Clase Media,middle,Burger King,Whopper,ff_04,112.35,,,True,True,25-45 min,3.9
rappi,Tlalpan Centro - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,200.5,,,True,True,25-45 min,3.9
rappi,Coapa - Clase Media,middle,McDonald's,Big Mac,ff_01,95.86,119.82,20.0,True,True,25-45 min,4.3
rappi,Coapa - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,191.99,,,True,True,25-45 min,4.3
rappi,Coapa - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,91.85,,,True,True,25-45 min,4.3
rappi,Coapa - Clase Media,middle,Burger King,Whopper,ff_04,98.48,,,True,True,25-45 min,3.9
rappi,Coapa - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,182.37,,,True,True,25-45 min,3.9
rappi,Coapa - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,29.97,,,True,True,25-45 min,4.7
rappi,Coapa - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,17.36,,,True,True,25-45 min,4.7
rappi,Coapa - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,247.94,309.92,20.0,True,True,25-45 min,4.7
rappi,Reforma - Zona de Oficinas,business,McDonald's,Big Mac,ff_01,93.36,,,True,True,22-40 min,4.7
rappi,Reforma - Zona de Oficinas,business,McDonald's,Combo Mediano Big Mac,ff_02,177.74,,,True,True,22-40 min,4.7
rappi,Reforma - Zona de Oficinas,business,McDonald's,McNuggets 10 piezas,ff_03,144.74,,,True,True,22-40 min,4.7
rappi,Reforma - Zona de Oficinas,business,Burger King,Whopper,ff_04,112.54,,,True,True,22-40 min,3.9
rappi,Reforma - Zona de Oficinas,business,Burger King,Combo Whopper Mediano,ff_05,169.68,,,True,True,22-40 min,3.9
rappi,Reforma - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,29.36,39.15,25.0,True,True,22-40 min,4.1
rappi,Reforma - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,15.87,,,True,True,22-40 min,4.1
rappi,Reforma - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,223.19,,,True,True,22-40 min,4.1
rappi,Insurgentes Sur - Zona de Oficinas,business,McDonald's,Big Mac,ff_01,130.9,,,True,True,22-40 min,4.3
rappi,Insurgentes Sur - Zona de Oficinas,business,McDonald's,Combo Mediano Big Mac,ff_02,210.36,,,True,True,22-40 min,4.3
rappi,Insurgentes Sur - Zona de Oficinas,business,McDonald's,McNuggets 10 piezas,ff_03,125.05,156.31,20.0,True,True,22-40 min,4.3
rappi,Insurgentes Sur - Zona de Oficinas,business,Burger King,Whopper,ff_04,142.82,,,True,True,22-40 min,4.7
rappi,Insurgentes Sur - Zona de Oficinas,business,Burger King,Combo Whopper Mediano,ff_05,211.74,,,True,True,22-40 min,4.7
rappi,Insurgentes Sur - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,21.71,28.95,25.0,True,True,22-40 min,4.4
rappi,Insurgentes Sur - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,27.38,,,True,True,22-40 min,4.4
rappi,Insurgentes Sur - Zona de Oficinas,business,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,215.0,,,True,True,22-40 min,4.4
rappi,Centro Histórico,commercial,McDonald's,Big Mac,ff_01,100.35,,,True,True,23-42 min,4.0
rappi,Centro Histórico,commercial,McDonald's,Combo Mediano Big Mac,ff_02,194.61,,,True,True,23-42 min,4.0
rappi,Centro Histórico,commercial,McDonald's,McNuggets 10 piezas,ff_03,128.59,,,True,True,23-42 min,4.0
rappi,Centro Histórico,commercial,Burger King,Whopper,ff_04,100.44,,,True,True,23-42 min,3.9
rappi,Centro Histórico,commercial,Burger King,Combo Whopper Mediano,ff_05,171.42,,,True,True,23-42 min,3.9
rappi,Zona Rosa,commercial,McDonald's,Big Mac,ff_01,95.78,,,True,True,23-42 min,3.9
rappi,Zona Rosa,commercial,McDonald's,Combo Mediano Big Mac,ff_02,157.5,,,True,True,23-42 min,3.9
rappi,Zona Rosa,commercial,McDonald's,McNuggets 10 piezas,ff_03,122.11,,,True,True,23-42 min,3.9
rappi,Zona Rosa,commercial,Burger King,Whopper,ff_04,130.54,,,True,True,23-42 min,4.5
rappi,Zona Rosa,commercial,Burger King,Combo Whopper Mediano,ff_05,193.27,,,True,True,23-42 min,4.5
rappi,Zona Rosa,commercial,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,33.96,45.28,25.0,True,True,23-42 min,3.8
rappi,Zona Rosa,commercial,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,18.2,,,True,True,23-42 min,3.8
rappi,Zona Rosa,commercial,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,329.13,,,True,True,23-42 min,3.8
rappi,Lindavista - Clase Media,middle,McDonald's,Big Mac,ff_01,115.05,,,True,True,25-45 min,4.3
rappi,Lindavista - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,163.1,,,True,True,25-45 min,4.3
rappi,Lindavista - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,128.66,,,True,True,25-45 min,4.3
rappi,Lindavista - Clase Media,middle,Burger King,Whopper,ff_04,102.58,,,True,True,25-45 min,4.6
rappi,Lindavista - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,164.05,,,True,True,25-45 min,4.6
rappi,Lindavista - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,32.91,43.88,25.0,True,True,25-45 min,4.7
rappi,Lindavista - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,13.67,,,True,True,25-45 min,4.7
rappi,Lindavista - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,303.15,,,True,True,25-45 min,4.7
rappi,Pedregal - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,119.56,,,True,True,21-38 min,4.7
rappi,Pedregal - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,183.28,,,True,True,21-38 min,4.7
rappi,Pedregal - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,150.49,,,True,True,21-38 min,4.7
rappi,Pedregal - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,21.23,,,True,True,21-38 min,4.7
rappi,Pedregal - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,29.0,,,True,True,21-38 min,4.7
rappi,Pedregal - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,271.42,,,True,True,21-38 min,4.7
rappi,Iztapalapa Centro - Popular,popular,McDonald's,Big Mac,ff_01,92.43,123.24,25.0,True,True,27-49 min,4.3
rappi,Iztapalapa Centro - Popular,popular,McDonald's,Combo Mediano Big Mac,ff_02,146.83,195.77,25.0,True,True,27-49 min,4.3
rappi,Iztapalapa Centro - Popular,popular,McDonald's,McNuggets 10 piezas,ff_03,85.22,,,True,True,27-49 min,4.3
rappi,Iztapalapa Centro - Popular,popular,Burger King,Whopper,ff_04,90.71,,,True,True,27-49 min,4.2
rappi,Iztapalapa Centro - Popular,popular,Burger King,Combo Whopper Mediano,ff_05,175.51,,,True,True,27-49 min,4.2
rappi,Iztapalapa Centro - Popular,popular,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,18.03,,,True,True,27-49 min,4.2
rappi,Iztapalapa Centro - Popular,popular,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,21.29,,,True,True,27-49 min,4.2
rappi,Iztapalapa Centro - Popular,popular,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,248.5,,,True,True,27-49 min,4.2
rappi,Tepito - Popular,popular,McDonald's,Big Mac,ff_01,107.29,,,True,True,27-49 min,4.4
rappi,Tepito - Popular,popular,McDonald's,Combo Mediano Big Mac,ff_02,128.47,171.29,25.0,True,True,27-49 min,4.4
rappi,Tepito - Popular,popular,McDonald's,McNuggets 10 piezas,ff_03,94.0,,,True,True,27-49 min,4.4
rappi,Tepito - Popular,popular,Burger King,Whopper,ff_04,81.98,,,True,True,27-49 min,4.5
rappi,Tepito - Popular,popular,Burger King,Combo Whopper Mediano,ff_05,142.34,,,True,True,27-49 min,4.5
rappi,Tepito - Popular,popular,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,24.85,,,True,True,27-49 min,4.6
rappi,Tepito - Popular,popular,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,23.05,,,True,True,27-49 min,4.6
rappi,Tepito - Popular,popular,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,273.49,303.88,10.0,True,True,27-49 min,4.6
rappi,Ciudad Neza - Periférica,peripheral,Burger King,Whopper,ff_04,105.2,,,True,True,31-56 min,4.5
rappi,Ciudad Neza - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,138.61,,,True,True,31-56 min,4.5
rappi,Ecatepec - Periférica,peripheral,Burger King,Whopper,ff_04,101.14,,,True,True,31-56 min,4.4
rappi,Ecatepec - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,158.69,,,True,True,31-56 min,4.4
rappi,Ecatepec - Periférica,peripheral,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,25.35,,,True,True,31-56 min,3.9
rappi,Ecatepec - Periférica,peripheral,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,19.41,,,True,True,31-56 min,3.9
rappi,Ecatepec - Periférica,peripheral,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,227.39,,,True,True,31-56 min,3.9
rappi,Satélite - Clase Media Alta,middle_high,McDonald's,Big Mac,ff_01,98.13,,,True,True,22-40 min,4.3
rappi,Satélite - Clase Media Alta,middle_high,McDonald's,Combo Mediano Big Mac,ff_02,164.5,,,True,True,22-40 min,4.3
rappi,Satélite - Clase Media Alta,middle_high,McDonald's,McNuggets 10 piezas,ff_03,112.47,124.97,10.0,True,True,22-40 min,4.3
rappi,Satélite - Clase Media Alta,middle_high,Burger King,Whopper,ff_04,108.68,,,True,True,22-40 min,4.5
rappi,Satélite - Clase Media Alta,middle_high,Burger King,Combo Whopper Mediano,ff_05,189.72,,,True,True,22-40 min,4.5
rappi,Interlomas - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,132.7,,,True,True,21-38 min,4.4
rappi,Interlomas - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,212.9,283.87,25.0,True,True,21-38 min,4.4
rappi,Interlomas - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,118.44,148.05,20.0,True,True,21-38 min,4.4
rappi,Interlomas - Alto Ingreso,premium,Burger King,Whopper,ff_04,143.84,,,True,True,21-38 min,4.6
rappi,Interlomas - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,184.19,,,True,True,21-38 min,4.6
rappi,Interlomas - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,31.7,,,True,True,21-38 min,4.6
rappi,Interlomas - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,27.05,,,True,True,21-38 min,4.6
rappi,Interlomas - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,221.73,,,True,True,21-38 min,4.6
rappi,Universidad - Estudiantil,university,McDonald's,Big Mac,ff_01,81.5,95.88,15.0,True,True,25-45 min,3.8
rappi,Universidad - Estudiantil,university,McDonald's,Combo Mediano Big Mac,ff_02,183.5,,,True,True,25-45 min,3.8
rappi,Universidad - Estudiantil,university,McDonald's,McNuggets 10 piezas,ff_03,87.61,109.51,20.0,True,True,25-45 min,3.8
rappi,Universidad - Estudiantil,university,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,24.12,,,True,True,25-45 min,4.2
rappi,Universidad - Estudiantil,university,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,15.25,,,True,True,25-45 min,4.2
rappi,Universidad - Estudiantil,university,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,286.85,358.56,20.0,True,True,25-45 min,4.2
rappi,IPN Zacatenco - Estudiantil,university,McDonald's,Big Mac,ff_01,112.77,150.36,25.0,True,True,25-45 min,4.7
rappi,IPN Zacatenco - Estudiantil,university,McDonald's,Combo Mediano Big Mac,ff_02,160.38,188.68,15.0,True,True,25-45 min,4.7
rappi,IPN Zacatenco - Estudiantil,university,McDonald's,McNuggets 10 piezas,ff_03,102.91,,,True,True,25-45 min,4.7
rappi,IPN Zacatenco - Estudiantil,university,Burger King,Whopper,ff_04,120.26,,,True,True,25-45 min,4.3
rappi,IPN Zacatenco - Estudiantil,university,Burger King,Combo Whopper Mediano,ff_05,178.52,,,True,True,25-45 min,4.3
rappi,IPN Zacatenco - Estudiantil,university,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,29.3,,,True,True,25-45 min,4.8
rappi,IPN Zacatenco - Estudiantil,university,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,24.22,32.29,25.0,True,True,25-45 min,4.8
rappi,IPN Zacatenco - Estudiantil,university,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,213.34,266.68,20.0,True,True,25-45 min,4.8
rappi,Azcapotzalco - Clase Media Baja,popular,McDonald's,Big Mac,ff_01,82.03,,,True,True,27-49 min,4.8
rappi,Azcapotzalco - Clase Media Baja,popular,McDonald's,Combo Mediano Big Mac,ff_02,134.21,,,True,True,27-49 min,4.8
rappi,Azcapotzalco - Clase Media Baja,popular,McDonald's,McNuggets 10 piezas,ff_03,123.72,,,True,True,27-49 min,4.8
rappi,Azcapotzalco - Clase Media Baja,popular,Burger King,Whopper,ff_04,95.11,,,True,True,27-49 min,4.7
rappi,Azcapotzalco - Clase Media Baja,popular,Burger King,Combo Whopper Mediano,ff_05,140.32,,,True,True,27-49 min,4.7
rappi,Azcapotzalco - Clase Media Baja,popular,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,24.78,,,True,True,27-49 min,3.8
rappi,Azcapotzalco - Clase Media Baja,popular,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,14.77,,,True,True,27-49 min,3.8
rappi,Azcapotzalco - Clase Media Baja,popular,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,199.64,,,True,True,27-49 min,3.8
rappi,Xochimilco - Periférica,peripheral,Burger King,Whopper,ff_04,78.65,,,True,True,31-56 min,4.3
rappi,Xochimilco - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,155.23,,,True,True,31-56 min,4.3
rappi,Xochimilco - Periférica,peripheral,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,27.64,,,True,True,31-56 min,4.0
rappi,Xochimilco - Periférica,peripheral,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,10.59,,,True,True,31-56 min,4.0
rappi,Xochimilco - Periférica,peripheral,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,277.82,,,True,True,31-56 min,4.0
rappi,Tacubaya - Clase Media,middle,McDonald's,Big Mac,ff_01,86.7,115.6,25.0,True,True,25-45 min,4.3
rappi,Tacubaya - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,157.22,,,True,True,25-45 min,4.3
rappi,Tacubaya - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,90.63,,,True,True,25-45 min,4.3
rappi,Tacubaya - Clase Media,middle,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,29.34,34.52,15.0,True,True,25-45 min,4.9
rappi,Tacubaya - Clase Media,middle,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,19.37,,,True,True,25-45 min,4.9
rappi,Tacubaya - Clase Media,middle,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,248.96,,,True,True,25-45 min,4.9
rappi,Mixcoac - Clase Media,middle,McDonald's,Big Mac,ff_01,94.46,,,True,True,25-45 min,4.0
rappi,Mixcoac - Clase Media,middle,McDonald's,Combo Mediano Big Mac,ff_02,182.56,,,True,True,25-45 min,4.0
rappi,Mixcoac - Clase Media,middle,McDonald's,McNuggets 10 piezas,ff_03,129.92,,,True,True,25-45 min,4.0
rappi,Mixcoac - Clase Media,middle,Burger King,Whopper,ff_04,107.14,142.85,25.0,True,True,25-45 min,4.5
rappi,Mixcoac - Clase Media,middle,Burger King,Combo Whopper Mediano,ff_05,152.39,,,True,True,25-45 min,4.5
rappi,Tláhuac - Periférica,peripheral,Burger King,Whopper,ff_04,85.32,,,True,True,31-56 min,4.2
rappi,Tláhuac - Periférica,peripheral,Burger King,Combo Whopper Mediano,ff_05,179.66,211.36,15.0,True,True,31-56 min,4.2
rappi,Cuajimalpa - Clase Media Alta,middle_high,McDonald's,Big Mac,ff_01,99.39,,,True,True,22-40 min,4.0
rappi,Cuajimalpa - Clase Media Alta,middle_high,McDonald's,Combo Mediano Big Mac,ff_02,197.3,,,True,True,22-40 min,4.0
rappi,Cuajimalpa - Clase Media Alta,middle_high,McDonald's,McNuggets 10 piezas,ff_03,133.67,,,True,True,22-40 min,4.0
rappi,Cuajimalpa - Clase Media Alta,middle_high,Burger King,Whopper,ff_04,94.29,,,True,True,22-40 min,4.2
rappi,Cuajimalpa - Clase Media Alta,middle_high,Burger King,Combo Whopper Mediano,ff_05,192.19,,,True,True,22-40 min,4.2
rappi,Cuajimalpa - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,21.16,26.45,20.0,True,True,22-40 min,4.1
rappi,Cuajimalpa - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,26.35,,,True,True,22-40 min,4.1
rappi,Cuajimalpa - Clase Media Alta,middle_high,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,232.17,,,True,True,22-40 min,4.1
uber_eats,Polanco - Alto Ingreso,premium,McDonald's,Big Mac,ff_01,98.34,,,True,True,17-34 min,4.0
uber_eats,Polanco - Alto Ingreso,premium,McDonald's,Combo Mediano Big Mac,ff_02,199.26,,,True,True,17-34 min,4.0
uber_eats,Polanco - Alto Ingreso,premium,McDonald's,McNuggets 10 piezas,ff_03,111.3,,,True,True,17-34 min,4.0
uber_eats,Polanco - Alto Ingreso,premium,Burger King,Whopper,ff_04,115.77,,,True,True,17-34 min,3.8
uber_eats,Polanco - Alto Ingreso,premium,Burger King,Combo Whopper Mediano,ff_05,198.46,,,True,True,17-34 min,3.8
uber_eats,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Coca-Cola 500ml,rt_01,20.28,,,True,True,17-34 min,4.0
uber_eats,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Agua embotellada 1L,rt_02,14.91,,,True,True,17-34 min,4.0
uber_eats,Polanco - Alto Ingreso,premium,OXXO / Tienda de conveniencia,Pañales Huggies Ultra Confort,rt_03,357.58,,,True,True,17-34 min,4.0
